MDTU,plaq,Re(det),Im(det),link
6320,0.803613,0.814364,0.213829,0.0860474
6321,0.803613,0.814364,0.213829,0.0860474
6322,0.800487,0.813849,0.215145,0.0856326
6323,0.771014,0.782303,0.211559,0.0819942
6324,0.771014,0.782303,0.211559,0.0819942
6325,0.771014,0.782303,0.211559,0.0819942
6326,0.777932,0.786577,0.209724,0.0827288
6327,0.750234,0.716122,0.195318,0.0802694
6328,0.750234,0.716122,0.195318,0.0802694
6329,0.758182,0.711046,0.196218,0.081829
6330,0.780056,0.734498,0.198625,0.0841294
6331,0.794725,0.764725,0.205583,0.085711
6332,0.794725,0.764725,0.205583,0.085711
6333,0.794725,0.764725,0.205583,0.085711
6334,0.806096,0.78086,0.206607,0.0866702
6335,0.778913,0.732718,0.197601,0.0840669
6336,0.807534,0.754721,0.20243,0.0871269
6337,0.807534,0.754721,0.20243,0.0871269
6338,0.83374,0.784437,0.20308,0.0897967
6339,0.836865,0.802139,0.205671,0.0897115
6340,0.836865,0.802139,0.205671,0.0897115
6341,0.865908,0.832077,0.210266,0.0930631
6342,0.858248,0.814923,0.204832,0.0919946
6343,0.903303,0.924506,0.225437,0.0965879
6344,0.876014,0.878106,0.214556,0.0933281
6345,0.895544,0.93403,0.22444,0.0948009
6346,0.895544,0.93403,0.22444,0.0948009
6347,0.891956,0.890543,0.212484,0.0948943
6348,0.891956,0.890543,0.212484,0.0948943
6349,0.891956,0.890543,0.212484,0.0948943
6350,0.891956,0.890543,0.212484,0.0948943
6351,0.875623,0.881374,0.218186,0.0932837
6352,0.875623,0.881374,0.218186,0.0932837
6353,0.872577,0.855133,0.2122,0.0931021
6354,0.866401,0.820889,0.205806,0.0928395
6355,0.865375,0.855433,0.210383,0.0920084
6356,0.867903,0.860071,0.213516,0.0927706
6357,0.880802,0.849739,0.211121,0.0947014
6358,0.880802,0.849739,0.211121,0.0947014
6359,0.855088,0.81402,0.20974,0.0922054
