MDTU,min_width,max_width
878,0.0310128,0.0219533
879,0.0310128,0.0219533
880,0.0314111,0.0224005
881,0.0314111,0.0224005
882,0.0308103,0.0221407
883,0.0313571,0.0222118
884,0.0318555,0.0220262
885,0.0319222,0.022269
886,0.0313034,0.0225539
887,0.0313034,0.0225539
888,0.0317244,0.0228546
889,0.0317244,0.0228546
890,0.0315715,0.0227159
891,0.0313838,0.0220339
892,0.0306676,0.0216598
893,0.0321716,0.0225944
894,0.0321716,0.0225944
895,0.0316937,0.0221041
896,0.0316937,0.0221041
897,0.0316937,0.0221041
898,0.0316937,0.0221041
899,0.0322169,0.0226833
900,0.0322169,0.0226833
901,0.0315336,0.0222776
902,0.0319266,0.0224208
903,0.0315634,0.0224053
904,0.0318092,0.0224977
905,0.0314419,0.0222525
906,0.0318676,0.0224042
907,0.0318676,0.0224042
908,0.0314709,0.0222659
909,0.0314709,0.0222659
910,0.0314709,0.0222659
911,0.0318762,0.0224406
912,0.0321527,0.0230125
913,0.0313021,0.022047
914,0.0313021,0.022047
915,0.0313021,0.022047
916,0.031427,0.022246
917,0.0312838,0.0220777
918,0.0312838,0.0220777
919,0.031505,0.0220289
920,0.0324269,0.0226227
921,0.0329952,0.0231865
922,0.0336633,0.0237426
923,0.0333442,0.0234458
924,0.0332579,0.0233246
925,0.0339003,0.0242485
926,0.0339003,0.0242485
927,0.0342053,0.0244415
928,0.0347224,0.0248045
929,0.0347224,0.0248045
930,0.0352493,0.0247443
931,0.0348487,0.0247643
932,0.0348487,0.0247643
933,0.0348487,0.0247643
934,0.035079,0.0244916
935,0.035079,0.0244916
936,0.035079,0.0244916
937,0.035079,0.0244916
938,0.0344171,0.0244911
939,0.0348056,0.0246707
940,0.0339019,0.0240403
941,0.0340025,0.0240281
942,0.0340025,0.0240281
943,0.0335044,0.0238368
944,0.0337762,0.0239867
945,0.0335462,0.0238928
946,0.0334816,0.0239286
947,0.0329255,0.0228012
948,0.0329255,0.0228012
949,0.0329049,0.0230465
950,0.0332101,0.0233114
951,0.033281,0.0234389
952,0.0326513,0.0233513
953,0.0336532,0.0237731
954,0.0336532,0.0237731
955,0.0330939,0.0233489
956,0.0332182,0.0232171
957,0.033547,0.0238397
958,0.0332135,0.0236126
959,0.0334417,0.0236075
960,0.0335841,0.023826
961,0.0333053,0.0234095
962,0.0333053,0.0234095
963,0.0328923,0.0232314
964,0.0324265,0.0230389
965,0.0321883,0.0225419
966,0.0321883,0.0225419
967,0.0315036,0.0223894
968,0.0315036,0.0223894
969,0.0315036,0.0223894
970,0.0311915,0.0221184
971,0.0311915,0.0221184
972,0.0305782,0.0215275
973,0.0305782,0.0215275
974,0.031244,0.0219076
975,0.0316885,0.0226156
976,0.0314324,0.0220999
977,0.0322226,0.0227411
978,0.0322929,0.0230904
979,0.0322929,0.0230904
980,0.0322929,0.0230904
981,0.0322929,0.0230904
982,0.0323584,0.0228181
983,0.0326733,0.0232187
984,0.0325775,0.0232188
985,0.0325775,0.0232188
986,0.0325775,0.0232188
987,0.032943,0.0237172
988,0.0327786,0.0231385
989,0.0327786,0.0231385
990,0.0328643,0.0235386
991,0.0330278,0.0235223
992,0.0337097,0.0238258
993,0.0337097,0.0238258
994,0.0337097,0.0238258
995,0.0337097,0.0238258
996,0.0337097,0.0238258
997,0.0332459,0.0234589
998,0.0333009,0.0239676
999,0.0333009,0.0239676
1000,0.0325717,0.0231097
1001,0.0336605,0.0242855
1002,0.0337005,0.0243804
1003,0.0337005,0.0243804
1004,0.0337005,0.0243804
