t,e^(-dS)
1756,1.73343
1757,0.941218
1758,0.958716
1759,0.224922
1760,0.628135
1761,1.26605
1762,0.591851
1763,0.284791
1764,0.490368
1765,0.20413
1766,0.232236
1767,0.860708
1768,0.777245
1769,9.47825
1770,0.821848
1771,0.514531
1772,6.4109
1773,3.11117
1774,0.889052
1775,0.984226
1776,0.564339
1777,0.21524
1778,1.46551
1779,0.975203
1780,1.78961
1781,0.264213
1782,1.31917
1783,0.608657
1784,1.64691
1785,0.21915
1786,1.094
1787,2.09845
1788,0.834268
1789,1.0449
1790,3.1174
1791,0.215671
1792,0.324328
1793,0.640184
1794,0.69108
1795,0.081921
1796,0.483647
1797,0.199688
1798,1.26541
1799,1.23355
1800,0.373029
1801,1.05061
1802,0.563719
1803,1.00521
1804,0.955644
1805,1.22924
1806,0.45122
1807,0.405676
1808,0.411354
1809,0.777556
1810,0.477973
1811,1.13224
1812,2.32821
1813,0.477448
1814,0.698654
1815,0.45781
1816,0.164969
1817,0.613914
1818,0.207215
1819,0.410327
1820,0.840465
1821,1.45761
1822,0.438279
1823,0.373215
1824,2.18846
1825,0.432229
1826,0.341298
1827,0.217621
1828,1.13224
1829,0.91555
1830,0.289095
1831,0.263685
1832,1.04441
1833,0.340957
1834,0.435265
1835,0.786471
1836,1.33509
1837,2.39552
1838,0.278873
1839,0.130942
1840,0.375499
1841,0.845269
1842,1.99152
1843,1.51119
1844,0.344383
1845,0.485828
1846,1.49511
1847,0.398838
1848,0.268474
1849,1.11293
1850,2.95353
1851,0.456896
1852,0.734842
1853,0.468415
1854,0.50687
1855,0.776157
1856,0.328901
1857,0.713267
1858,1.55846
1859,0.664979
1860,1.26985
1861,2.2405
1862,1.04764
1863,3.6693
1864,1.57255
1865,1.2107
