MDTU,plaq_ss,plaq_st
760,0.951117,1.06909
761,0.952048,1.06604
762,0.957745,1.07574
763,0.959247,1.07328
764,0.959247,1.07328
765,0.960554,1.07625
766,0.962705,1.06438
767,0.960399,1.06654
768,0.960032,1.06802
769,0.957955,1.07271
770,0.957955,1.07271
771,0.955506,1.07328
772,0.955506,1.07328
773,0.95375,1.06994
774,0.961766,1.06833
775,0.961766,1.06833
776,0.959973,1.06948
777,0.959711,1.06454
778,0.959711,1.06454
779,0.958338,1.06463
780,0.958505,1.06793
781,0.951583,1.06369
782,0.951583,1.06369
783,0.952419,1.06751
784,0.952419,1.06751
785,0.953052,1.06699
786,0.952841,1.06449
787,0.949831,1.06783
788,0.949831,1.06783
789,0.949831,1.06783
790,0.953628,1.06969
791,0.950699,1.07346
792,0.950526,1.07102
793,0.944241,1.06481
794,0.945288,1.06432
795,0.948162,1.06552
796,0.947656,1.07116
797,0.947656,1.07116
798,0.945734,1.07008
799,0.944643,1.06859
800,0.94607,1.06321
801,0.94607,1.06321
802,0.94607,1.06321
803,0.948902,1.06445
804,0.947098,1.06344
805,0.952282,1.06363
806,0.94891,1.0615
807,0.946462,1.0613
808,0.946462,1.0613
809,0.944942,1.05748
810,0.944942,1.05748
811,0.944942,1.05748
812,0.944942,1.05748
813,0.944942,1.05748
814,0.944942,1.05748
815,0.944942,1.05748
816,0.944942,1.05748
817,0.944942,1.05748
818,0.94646,1.06007
819,0.94646,1.06007
820,0.946656,1.06152
821,0.948806,1.06377
822,0.948806,1.06377
823,0.948806,1.06377
824,0.947075,1.06999
825,0.946626,1.06017
826,0.944548,1.06441
827,0.944657,1.06191
828,0.944657,1.06191
829,0.944657,1.06191
830,0.944657,1.06191
831,0.94674,1.06393
832,0.944226,1.06
833,0.943492,1.05475
834,0.939108,1.05245
835,0.939108,1.05245
836,0.944129,1.04915
837,0.944129,1.04915
838,0.944129,1.04915
839,0.949784,1.04609
840,0.950487,1.05355
841,0.948621,1.05054
842,0.948135,1.05675
843,0.949684,1.05271
844,0.952336,1.05662
845,0.952336,1.05662
846,0.951418,1.0542
847,0.951418,1.0542
848,0.951418,1.0542
849,0.951418,1.0542
850,0.950884,1.05402
851,0.950884,1.05402
852,0.949615,1.05057
853,0.949615,1.05057
854,0.944078,1.04975
855,0.951133,1.04619
856,0.951133,1.04619
857,0.948767,1.04432
858,0.948767,1.04432
859,0.948767,1.04432
860,0.950971,1.04895
861,0.950971,1.04895
862,0.950971,1.04895
863,0.94839,1.05233
864,0.94845,1.05416
865,0.94845,1.05416
866,0.944528,1.05985
867,0.944051,1.06214
868,0.944051,1.06214
869,0.942254,1.0607
870,0.940681,1.06538
871,0.941954,1.06394
872,0.942295,1.06307
873,0.942295,1.06307
874,0.944932,1.06849
875,0.944932,1.06849
876,0.944932,1.06849
877,0.939054,1.06129
878,0.939054,1.06129
879,0.938673,1.05787
880,0.935633,1.06496
881,0.935633,1.06496
882,0.939818,1.06723
883,0.940547,1.06867
884,0.945011,1.06862
885,0.944717,1.06765
886,0.944438,1.06958
887,0.945284,1.06871
888,0.945284,1.06871
889,0.950676,1.06511
890,0.951989,1.06389
891,0.951989,1.06389
892,0.946718,1.06514
893,0.945506,1.06659
894,0.945506,1.06659
895,0.945506,1.06659
896,0.944753,1.06513
897,0.944753,1.06513
898,0.950285,1.06102
899,0.951449,1.06356
900,0.951449,1.06356
901,0.95305,1.06212
902,0.95305,1.06212
903,0.949053,1.05397
904,0.944325,1.0576
905,0.950049,1.05941
906,0.949394,1.06037
907,0.949394,1.06037
908,0.947304,1.06445
909,0.947758,1.0592
910,0.946751,1.06021
911,0.942736,1.05798
912,0.942825,1.05998
913,0.943816,1.06005
