MDTU,min_min,min_max,max_min,max_max5
366,-0.387989,-0.0231138,0.0690979,0.305541
367,-0.402577,-0.00933355,0.073739,0.319385
368,-0.419408,-0.0205885,0.0733265,0.310525
369,-0.411144,-0.0222422,0.069932,0.309195
370,-0.428987,-0.0225356,0.0730089,0.303746
371,-0.389513,-0.030111,0.0736137,0.301008
372,-0.435965,-0.0248131,0.0710916,0.305425
373,-0.405038,-0.0220552,0.0665064,0.31608
374,-0.404567,-0.0242512,0.0640181,0.316558
375,-0.445018,-0.014904,0.0625819,0.314348
376,-0.392643,-0.0115293,0.0664907,0.31193
377,-0.392643,-0.0115293,0.0664907,0.31193
378,-0.392643,-0.0115293,0.0664907,0.31193
379,-0.403183,-0.0122418,0.0679448,0.323971
380,-0.437274,-0.0144809,0.0674771,0.319015
381,-0.413153,-0.00166104,0.06433,0.310473
382,-0.423926,-0.0096403,0.0655173,0.315571
383,-0.41535,-0.0233269,0.0582883,0.315905
384,-0.41535,-0.0233269,0.0582883,0.315905
385,-0.407453,-0.0218711,0.068872,0.320208
386,-0.407453,-0.0218711,0.068872,0.320208
387,-0.414271,-0.0171841,0.0640141,0.326643
388,-0.400224,0.00203496,0.06847,0.317534
389,-0.424114,-0.0188004,0.0719217,0.323183
390,-0.45325,-0.0114518,0.0672403,0.306313
391,-0.45325,-0.0114518,0.0672403,0.306313
392,-0.422275,-0.0231747,0.0711861,0.306967
393,-0.409038,-0.0214833,0.0594346,0.301414
394,-0.409038,-0.0214833,0.0594346,0.301414
395,-0.397797,-0.00448722,0.0505349,0.31614
396,-0.419667,-0.0255472,0.0637798,0.304951
397,-0.427611,-0.0247372,0.0483613,0.311036
398,-0.427611,-0.0247372,0.0483613,0.311036
399,-0.386593,-0.0313867,0.0526068,0.291694
400,-0.414989,-0.0424444,0.0569889,0.302826
401,-0.395053,-0.0133424,0.0658175,0.306851
402,-0.394396,-0.0272059,0.0676514,0.302645
403,-0.423626,-0.0406455,0.0601124,0.311861
404,-0.416433,-0.0259252,0.0739649,0.296858
405,-0.416433,-0.0259252,0.0739649,0.296858
406,-0.416433,-0.0259252,0.0739649,0.296858
407,-0.394156,-0.02345,0.066683,0.317364
408,-0.394156,-0.02345,0.066683,0.317364
409,-0.399962,-0.0186544,0.0745049,0.313838
410,-0.413619,-0.0113841,0.078393,0.317716
411,-0.393333,-0.02338,0.07101,0.301617
412,-0.393333,-0.02338,0.07101,0.301617
413,-0.417099,-0.0183907,0.0766909,0.31502
414,-0.417099,-0.0183907,0.0766909,0.31502
415,-0.385985,-0.0253943,0.0723703,0.299432
416,-0.395302,-0.0225864,0.0720476,0.299983
417,-0.395302,-0.0225864,0.0720476,0.299983
418,-0.403449,-0.0163818,0.0669073,0.305539
