MDTU,S_F
1293,1.0131e-05
1294,1.0131e-05
1295,1.02175e-05
1296,1.02175e-05
1297,1.03638e-05
1298,1.05507e-05
1299,1.05507e-05
1300,1.04303e-05
1301,1.04303e-05
1302,1.03892e-05
1303,1.03892e-05
1304,1.03892e-05
1305,1.03892e-05
1306,1.03892e-05
1307,1.03711e-05
1308,1.03711e-05
1309,1.02946e-05
1310,1.03576e-05
1311,1.034e-05
1312,1.02593e-05
1313,1.02593e-05
1314,1.02593e-05
1315,1.04239e-05
1316,1.03393e-05
1317,1.03393e-05
1318,1.02282e-05
1319,1.03193e-05
1320,1.01792e-05
1321,1.01792e-05
1322,1.01179e-05
1323,1.00145e-05
1324,1.00145e-05
1325,9.96501e-06
1326,1.00229e-05
1327,1.00476e-05
1328,1.0067e-05
1329,1.02392e-05
1330,1.01106e-05
1331,1.01106e-05
1332,9.99684e-06
1333,9.95375e-06
1334,9.95375e-06
1335,9.95375e-06
1336,9.88837e-06
1337,9.90059e-06
1338,9.91551e-06
1339,9.91551e-06
1340,9.91551e-06
1341,9.91551e-06
1342,9.91062e-06
1343,1.00554e-05
1344,9.98827e-06
1345,1.00881e-05
1346,9.96395e-06
1347,9.94509e-06
1348,9.95956e-06
1349,9.95956e-06
1350,1.00306e-05
1351,9.94746e-06
1352,1.03097e-05
1353,1.03097e-05
1354,1.03097e-05
1355,1.02072e-05
1356,1.03377e-05
1357,1.03377e-05
1358,1.03715e-05
1359,1.02771e-05
