MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
471,0.9929,0.317446,0.26732,0.00235121
472,0.992742,0.328006,0.296526,0.0056986
473,0.99268,0.309485,0.297474,0.00215174
474,0.992761,0.302489,0.330379,0.00198264
475,0.992822,0.307901,0.312931,0.000633018
476,0.992757,0.304306,0.312903,0.00137701
477,0.992694,0.293518,0.306375,0.00320935
478,0.992694,0.293518,0.306375,0.00320935
479,0.992694,0.293518,0.306375,0.00320935
480,0.992712,0.325167,0.324985,0.00295964
481,0.992671,0.330864,0.373809,0.00192497
482,0.99273,0.30708,0.409168,0.00441893
483,0.99273,0.30708,0.409168,0.00441893
484,0.992708,0.38099,0.40813,0.00308104
485,0.992708,0.38099,0.40813,0.00308104
486,0.992799,0.35838,0.444821,0.00217038
487,0.992899,0.379302,0.413017,0.00440228
488,0.992786,0.378873,0.428021,0.00181917
489,0.992786,0.378873,0.428021,0.00181917
490,0.99282,0.344304,0.435959,0.00303794
491,0.992875,0.327526,0.434448,0.00202025
492,0.992758,0.33227,0.450711,0.00422409
493,0.992758,0.33227,0.450711,0.00422409
494,0.992827,0.365255,0.438824,0.00272564
495,0.992785,0.343833,0.462317,0.00087598
496,0.992785,0.343833,0.462317,0.00087598
497,0.992881,0.353243,0.463611,0.00255369
498,0.992881,0.353243,0.463611,0.00255369
499,0.99291,0.366816,0.455382,0.00158415
500,0.992974,0.2992,0.408742,0.00494075
501,0.993045,0.315411,0.398109,0.00201961
502,0.993022,0.332323,0.467711,0.007496
503,0.993022,0.332323,0.467711,0.007496
504,0.992962,0.344661,0.491249,0.00599856
505,0.992816,0.342702,0.503831,0.00388644
506,0.992816,0.342702,0.503831,0.00388644
507,0.992772,0.35443,0.436927,0.00543172
508,0.992746,0.366781,0.462625,0.00431067
509,0.992744,0.301595,0.460787,0.00612847
510,0.992828,0.283223,0.441026,0.00442708
511,0.992828,0.283223,0.441026,0.00442708
512,0.992737,0.298272,0.457563,0.00139062
513,0.992737,0.298272,0.457563,0.00139062
514,0.992744,0.329239,0.444912,0.00389385
515,0.992744,0.329239,0.444912,0.00389385
516,0.992744,0.329239,0.444912,0.00389385
517,0.992682,0.327504,0.430381,0.00168048
518,0.992682,0.327504,0.430381,0.00168048
519,0.992682,0.327504,0.430381,0.00168048
520,0.992835,0.317572,0.384136,0.00565304
521,0.992835,0.317572,0.384136,0.00565304
522,0.992835,0.317572,0.384136,0.00565304
523,0.992892,0.350335,0.371576,0.00754771
524,0.992828,0.322888,0.399329,0.0035112
525,0.992828,0.322888,0.399329,0.0035112
526,0.992835,0.303479,0.408834,0.00262788
527,0.992835,0.303479,0.408834,0.00262788
528,0.992876,0.340631,0.442377,0.00150956
529,0.992977,0.365667,0.417814,0.0018951
530,0.993019,0.34159,0.395337,0.00122508
531,0.993047,0.314917,0.341829,0.00530948
532,0.993015,0.337378,0.383343,0.00352592
533,0.992975,0.294217,0.348798,0.00159092
534,0.992975,0.294217,0.348798,0.00159092
535,0.992975,0.294217,0.348798,0.00159092
536,0.992975,0.294217,0.348798,0.00159092
537,0.992946,0.272679,0.35054,0.00620433
538,0.992968,0.227194,0.346859,0.00329407
539,0.992988,0.263433,0.387367,0.00138125
540,0.992988,0.263433,0.387367,0.00138125
541,0.992988,0.263433,0.387367,0.00138125
542,0.992969,0.293632,0.369215,0.00233331
543,0.992958,0.304113,0.368425,0.00309872
544,0.99304,0.343378,0.330377,0.00508956
545,0.992984,0.322289,0.386549,0.00498247
546,0.993017,0.351873,0.367278,0.00702953
547,0.993017,0.351873,0.367278,0.00702953
548,0.993017,0.351873,0.367278,0.00702953
549,0.993017,0.351873,0.367278,0.00702953
550,0.993017,0.351873,0.367278,0.00702953
551,0.993039,0.372765,0.423395,0.00473165
552,0.993039,0.372765,0.423395,0.00473165
553,0.993027,0.352234,0.362319,0.00677917
554,0.993027,0.352234,0.362319,0.00677917
555,0.993027,0.352234,0.362319,0.00677917
556,0.993027,0.352234,0.362319,0.00677917
557,0.993031,0.331137,0.397449,0.00477464
558,0.993031,0.331137,0.397449,0.00477464
559,0.993021,0.346446,0.355244,0.00153008
560,0.993009,0.392688,0.338633,0.00400303
561,0.992942,0.331379,0.353917,0.0063963
562,0.992882,0.314411,0.362856,0.00264097
563,0.992882,0.314411,0.362856,0.00264097
564,0.992882,0.314411,0.362856,0.00264097
565,0.992943,0.299704,0.36432,0.00219444
566,0.992885,0.325221,0.403699,0.00112738
567,0.99279,0.343619,0.347999,0.00225112
568,0.992747,0.32244,0.331046,0.00277624
569,0.992747,0.32244,0.331046,0.00277624
570,0.992848,0.320462,0.341886,0.00374994
571,0.992918,0.3118,0.357157,0.00763451
572,0.992943,0.315051,0.295437,0.00368121
573,0.992946,0.325979,0.342147,0.00333939
574,0.992946,0.325979,0.342147,0.00333939
575,0.992946,0.325979,0.342147,0.00333939
576,0.992946,0.325979,0.342147,0.00333939
577,0.992946,0.325979,0.342147,0.00333939
578,0.993009,0.291344,0.33484,0.00303796
579,0.993009,0.291344,0.33484,0.00303796
580,0.993009,0.291344,0.33484,0.00303796
581,0.992954,0.299044,0.354535,0.00250221
582,0.992954,0.299044,0.354535,0.00250221
583,0.992882,0.30601,0.36069,0.00169246
584,0.992873,0.298609,0.430273,0.00243336
585,0.992795,0.333874,0.338061,0.0027597
586,0.992784,0.348316,0.34817,0.00293792
587,0.992755,0.304095,0.31532,0.00508759
588,0.99279,0.361859,0.361375,0.00609669
589,0.992804,0.333103,0.357459,0.00501966
590,0.992804,0.333103,0.357459,0.00501966
591,0.9927,0.273836,0.324056,0.00723296
592,0.9927,0.273836,0.324056,0.00723296
593,0.99281,0.28462,0.288774,0.00375339
594,0.99258,0.291896,0.339947,0.00311583
595,0.99258,0.291896,0.339947,0.00311583
