MDTU,|det-1|^2,1-Re(det),Im(det)
673,0.345763,0.410923,0.000434667
674,0.33598,0.393679,-0.000238736
675,0.338388,0.402786,0.000502382
676,0.341829,0.407688,0.000455192
677,0.342526,0.389369,-0.000206979
678,0.342526,0.389369,-0.000206979
679,0.34832,0.403491,7.14617e-05
680,0.355841,0.41251,-0.000151047
681,0.355841,0.41251,-0.000151046
682,0.350709,0.390244,0.000517368
683,0.339857,0.387301,-8.84842e-05
684,0.342512,0.383497,-0.000502522
685,0.371685,0.412604,0.000134805
686,0.361704,0.422742,-1.6238e-05
687,0.361704,0.422742,-1.6238e-05
688,0.361704,0.422742,-1.6238e-05
689,0.361704,0.422742,-1.6238e-05
690,0.361704,0.422742,-1.6238e-05
691,0.355559,0.433641,6.71298e-05
692,0.34647,0.387553,6.5272e-05
693,0.366899,0.370959,-0.000154929
694,0.363731,0.404664,0.000370358
695,0.352941,0.423359,-6.26324e-05
696,0.352941,0.423359,-6.26324e-05
697,0.338993,0.416802,-0.000116131
698,0.338993,0.416802,-0.000116131
699,0.338993,0.416802,-0.000116131
700,0.338993,0.416802,-0.000116131
701,0.338993,0.416802,-0.000116131
702,0.32219,0.382747,-5.04454e-05
703,0.32219,0.382747,-5.04454e-05
704,0.316545,0.40788,7.15773e-06
705,0.316545,0.40788,7.15773e-06
706,0.316545,0.40788,7.15773e-06
707,0.308601,0.400487,-0.000124404
708,0.276826,0.353915,0.000190346
709,0.276826,0.353915,0.000190346
710,0.277563,0.327547,0.000231082
711,0.277563,0.327547,0.000231082
712,0.277563,0.327547,0.000231082
713,0.277563,0.327547,0.000231082
714,0.277563,0.327547,0.000231082
715,0.282499,0.350548,-5.91913e-05
716,0.282807,0.306495,0.000482172
717,0.282807,0.306495,0.000482172
718,0.267554,0.271898,-0.00019939
719,0.266232,0.291417,0.00080314
720,0.283234,0.309284,0.000345089
721,0.279365,0.299271,-0.000238939
722,0.274401,0.289323,-0.000301991
723,0.271884,0.287887,0.000526049
