ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.0153811,null,null,null,-0.855777
0.962987,-0.45429,null,null,null
0.766748,null,-0.380487,null,null
0.72566,null,null,0.581993,null
-0.187533,null,null,null,-0.63437
0.938963,-0.49363,null,null,null
0.79594,null,-0.37403,null,null
0.736445,null,null,0.580055,null
-0.0028736,null,null,null,-0.739707
0.938963,-0.49363,null,null,null
0.79594,null,-0.37403,null,null
0.736445,null,null,0.580055,null
-0.0028736,null,null,null,-0.739707
0.938963,-0.49363,null,null,null
0.79594,null,-0.37403,null,null
0.736445,null,null,0.580055,null
-0.0028736,null,null,null,-0.739707
0.938963,-0.49363,null,null,null
0.79594,null,-0.37403,null,null
0.736445,null,null,0.580055,null
-0.0028736,null,null,null,-0.739707
0.938963,-0.49363,null,null,null
0.79594,null,-0.37403,null,null
0.736445,null,null,0.580055,null
-0.0028736,null,null,null,-0.739707
0.935585,-0.470278,null,null,null
0.805775,null,-0.401672,null,null
0.729483,null,null,0.613165,null
0.027165,null,null,null,-0.735178
0.915632,-0.458662,null,null,null
0.800125,null,-0.405263,null,null
0.70082,null,null,0.570667,null
-0.0256942,null,null,null,-0.5802
0.872753,-0.47369,null,null,null
0.783327,null,-0.401025,null,null
0.67278,null,null,0.584205,null
-0.190488,null,null,null,-0.665315
0.888648,-0.416903,null,null,null
0.764545,null,-0.428702,null,null
0.64184,null,null,0.611825,null
0.0245245,null,null,null,-0.703685
0.886622,-0.41136,null,null,null
0.818355,null,-0.4016,null,null
0.616405,null,null,0.60737,null
0.0528192,null,null,null,-0.29173
0.886622,-0.41136,null,null,null
0.818355,null,-0.4016,null,null
0.616405,null,null,0.60737,null
0.0528192,null,null,null,-0.29173
0.8644,-0.415822,null,null,null
0.769447,null,-0.451103,null,null
0.638652,null,null,0.653042,null
0.022426,null,null,null,-0.344083
0.870935,-0.44248,null,null,null
0.785455,null,-0.443795,null,null
0.617692,null,null,0.638907,null
0.528203,null,null,null,-0.328533
0.888485,-0.46495,null,null,null
0.820148,null,-0.439397,null,null
0.629463,null,null,0.640023,null
0.202053,null,null,null,-0.32684
0.888485,-0.46495,null,null,null
0.820148,null,-0.439397,null,null
0.629463,null,null,0.640023,null
0.202053,null,null,null,-0.32684
0.87298,-0.44263,null,null,null
0.83499,null,-0.451892,null,null
0.597967,null,null,0.64567,null
-0.00589185,null,null,null,-0.465033
0.868088,-0.465365,null,null,null
0.802987,null,-0.409015,null,null
0.589938,null,null,0.6382,null
0.15336,null,null,null,-0.357698
0.87428,-0.482855,null,null,null
0.77333,null,-0.414143,null,null
0.653995,null,null,0.630798,null
0.135915,null,null,null,-0.387335
0.842627,-0.44779,null,null,null
0.79597,null,-0.386125,null,null
0.634938,null,null,0.653513,null
0.4115,null,null,null,-0.42105
0.853518,-0.469542,null,null,null
0.7841,null,-0.445283,null,null
0.62221,null,null,0.650443,null
0.554967,null,null,null,-0.839607
0.818462,-0.457068,null,null,null
0.760413,null,-0.418625,null,null
0.634182,null,null,0.665495,null
0.157419,null,null,null,-0.472703
0.813368,-0.476187,null,null,null
0.756962,null,-0.432592,null,null
0.64203,null,null,0.672565,null
0.0768545,null,null,null,-0.621495
0.798895,-0.465552,null,null,null
0.764217,null,-0.463205,null,null
0.598108,null,null,0.66477,null
0.0409762,null,null,null,-0.781443
0.797347,-0.457085,null,null,null
0.806617,null,-0.419007,null,null
0.63494,null,null,0.64393,null
0.263653,null,null,null,-0.660672
0.797347,-0.457085,null,null,null
0.806617,null,-0.419007,null,null
0.63494,null,null,0.64393,null
0.263653,null,null,null,-0.660672
0.797347,-0.457085,null,null,null
0.806617,null,-0.419007,null,null
0.63494,null,null,0.64393,null
0.263653,null,null,null,-0.660672
0.77352,-0.448817,null,null,null
0.794503,null,-0.449345,null,null
0.670808,null,null,0.623343,null
0.278665,null,null,null,-0.561357
0.751905,-0.45114,null,null,null
0.803638,null,-0.37762,null,null
0.656018,null,null,0.648135,null
0.178837,null,null,null,-0.0863997
0.751905,-0.45114,null,null,null
0.803638,null,-0.37762,null,null
0.656018,null,null,0.648135,null
0.178837,null,null,null,-0.0863997
0.751905,-0.45114,null,null,null
0.803638,null,-0.37762,null,null
0.656018,null,null,0.648135,null
0.178837,null,null,null,-0.0863997
0.777752,-0.50469,null,null,null
0.748495,null,-0.371603,null,null
0.677682,null,null,0.628587,null
0.378113,null,null,null,-0.705865
0.748685,-0.4496,null,null,null
0.790885,null,-0.417803,null,null
0.654048,null,null,0.608452,null
-0.00702252,null,null,null,-0.30661
0.74288,-0.461095,null,null,null
0.848885,null,-0.395012,null,null
0.64821,null,null,0.597688,null
0.453033,null,null,null,-0.490333
0.74288,-0.461095,null,null,null
0.848885,null,-0.395012,null,null
0.64821,null,null,0.597688,null
0.453033,null,null,null,-0.490333
0.742807,-0.44736,null,null,null
0.776395,null,-0.420988,null,null
0.605402,null,null,0.584245,null
0.305557,null,null,null,-0.591902
0.7625,-0.455083,null,null,null
0.762535,null,-0.393018,null,null
0.68222,null,null,0.606378,null
0.386105,null,null,null,-0.312972
0.734052,-0.470598,null,null,null
0.778885,null,-0.355577,null,null
0.672515,null,null,0.6147,null
0.139319,null,null,null,-0.481442
0.734052,-0.470598,null,null,null
0.778885,null,-0.355577,null,null
0.672515,null,null,0.6147,null
0.139319,null,null,null,-0.481442
0.714115,-0.46184,null,null,null
0.792523,null,-0.389012,null,null
0.644275,null,null,0.633112,null
-0.0208892,null,null,null,-0.564785
0.714115,-0.46184,null,null,null
0.792523,null,-0.389012,null,null
0.644275,null,null,0.633112,null
-0.0208892,null,null,null,-0.564785
