t,e^(-dS)
1696,0.631347
1697,1.78497
1698,2.11235
1699,0.498476
1700,0.907601
1701,3.21234
1702,1.73308
1703,0.301496
1704,0.603264
1705,0.720219
1706,0.300292
1707,0.696004
1708,1.64806
1709,0.322066
1710,0.81685
1711,1.25282
1712,1.00423
1713,1.22214
1714,0.850526
1715,0.855132
1716,0.463986
1717,1.10168
1718,1.84227
1719,1.20563
1720,1.31653
1721,1.34582
1722,0.500574
1723,0.743416
1724,2.67942
1725,0.430546
1726,0.46292
1727,0.683178
1728,0.888963
1729,1.16544
1730,0.701735
1731,1.08329
1732,1.05055
1733,1.81884
1734,0.662788
1735,0.386084
1736,0.721661
1737,0.650379
1738,0.762922
1739,0.988645
1740,0.61693
1741,1.53572
1742,0.448207
1743,0.606349
1744,0.918926
1745,1.07229
1746,0.609023
1747,0.896103
1748,0.565017
1749,1.37493
1750,0.575912
1751,0.569213
1752,3.52895
1753,1.30447
1754,1.13338
1755,0.562424
1756,0.65142
1757,1.4027
1758,2.19746
1759,0.849166
1760,0.585786
1761,0.279152
1762,0.565469
1763,0.360595
1764,1.09447
1765,0.66458
1766,0.791045
1767,1.24695
1768,0.667377
1769,0.535636
1770,2.00732
1771,1.02621
1772,0.951334
1773,1.67213
1774,0.582515
1775,0.589017
1776,0.397962
1777,0.704829
1778,0.862345
1779,1.83144
1780,0.527609
1781,2.02648
1782,0.68434
1783,1.64198
1784,0.671259
1785,0.951857
1786,1.12008
1787,1.22483
1788,0.234102
1789,0.492185
1790,0.54194
1791,0.369797
1792,2.00071
1793,0.495891
1794,1.01653
1795,1.09941
1796,1.07094
1797,0.327588
1798,1.64198
1799,1.8504
1800,0.376589
1801,0.691218
1802,0.601036
1803,0.703843
1804,2.24566
1805,0.817585
1806,0.353455
1807,0.655079
1808,0.738378
1809,2.66233
1810,0.746321
1811,2.00371
1812,0.463291
1813,2.15674
1814,1.42077
1815,0.919726
1816,0.748563
1817,0.598278
1818,2.41259
1819,0.865109
1820,0.526871
1821,0.223801
1822,0.894223
1823,0.545474
1824,1.76509
1825,0.798596
1826,1.17715
1827,0.852996
1828,0.780672
1829,1.14809
1830,0.922821
1831,0.32923
1832,1.04388
1833,0.816523
1834,2.14363
1835,0.70822
1836,0.355226
1837,3.59664
1838,0.691218
