ReTr(L),ImTr(L)
1.51159,0.83981
1.51159,0.83981
1.49504,0.804461
1.49504,0.804461
1.46685,0.837727
1.46685,0.837727
1.48198,0.894727
1.49525,0.854552
1.49525,0.854552
1.41515,0.961867
1.4175,0.934005
1.4175,0.934005
1.34902,0.991662
1.34902,0.991662
1.37372,1.0239
1.42449,1.03587
1.49173,1.03009
1.48231,1.00856
1.50783,1.07481
1.50783,1.07481
1.50783,1.07481
1.51418,1.17178
1.54612,1.14458
1.54612,1.14458
1.56213,1.08636
1.56213,1.08636
1.56213,1.08636
1.55032,1.16746
1.51904,1.24583
1.51904,1.24583
1.58457,1.23771
1.59079,1.30674
1.65439,1.27506
1.65439,1.27506
1.65439,1.27506
1.67567,1.23097
1.66577,1.32297
1.75295,1.18755
1.75295,1.18755
1.69641,1.13377
1.70115,1.18821
1.7281,1.15962
1.58074,1.18226
1.58343,1.24393
1.53078,1.30489
1.50264,1.25801
1.49629,1.32941
1.49629,1.32941
1.5834,1.32019
1.56595,1.24136
1.56198,1.33508
1.56043,1.41078
1.64103,1.26963
1.6433,1.33694
1.54389,1.38507
1.54683,1.38547
1.51281,1.31227
1.49836,1.29165
1.43374,1.31247
1.43374,1.31247
1.43466,1.27736
1.43466,1.27736
1.42242,1.18239
1.42242,1.18239
1.48129,1.22126
1.42119,1.22819
1.42119,1.22819
1.4331,1.18555
1.33453,1.25162
1.35245,1.35715
1.30272,1.32281
1.30272,1.32281
1.27917,1.35095
1.23798,1.40601
1.23798,1.40601
1.23798,1.40601
1.23798,1.40601
1.23798,1.40601
1.23798,1.40601
1.25103,1.38657
1.25103,1.38657
1.25103,1.38657
1.27398,1.40537
1.27398,1.40537
1.19828,1.38946
1.17412,1.34672
1.18835,1.36261
1.18835,1.36261
1.193,1.34329
1.16578,1.33582
1.16578,1.33582
1.09294,1.35847
1.09294,1.35847
1.08814,1.39908
1.08814,1.39908
1.10536,1.37366
1.10536,1.37366
1.14097,1.367
1.14097,1.367
1.14097,1.367
1.06738,1.41125
1.11702,1.31854
1.11702,1.31854
1.16088,1.2982
1.16088,1.2982
1.10363,1.3193
1.07327,1.39295
1.07327,1.39295
1.07327,1.39295
1.05236,1.38323
0.989707,1.41501
1.02302,1.38105
1.02302,1.38105
1.00434,1.50337
1.03612,1.41623
1.03612,1.41623
1.03612,1.41623
1.01435,1.45874
1.01435,1.45874
0.993199,1.46691
0.94034,1.47922
0.95089,1.47739
0.876855,1.4841
0.865986,1.50633
0.714412,1.53494
0.720542,1.52862
0.720542,1.52862
0.758276,1.50217
0.758276,1.50217
0.728051,1.49586
0.757527,1.55827
0.779909,1.5637
0.747449,1.6157
0.747449,1.6157
0.724715,1.61958
0.764551,1.58625
0.794252,1.59105
0.741561,1.69504
0.741561,1.69504
0.74723,1.69993
0.616473,1.65094
0.616473,1.65094
0.616473,1.65094
0.593945,1.7091
0.593945,1.7091
0.714891,1.82355
0.716358,1.78119
0.752543,1.8031
0.752543,1.8031
0.690869,1.73317
0.684146,1.77633
0.684146,1.77633
